iShares Nasdaq Biotechnology ETF,,,,,,,,,,,
Inception Date,5-Feb-01,,,,,,,,,,
Fund Holdings as of,5-Feb-18,,,,,,,,,,
Total Net Assets,"9,593,982,295.06",,,,,,,,,,
Shares Outstanding,"89,450,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GILD,GILEAD SCIENCES INC,Equity,8.26,78.37,"10,071,118.00","789,273,517.66","789,273,517.66",Health Care,2369174,US3755581036,NASDAQ
BIIB,BIOGEN INC INC,Equity,8.03,328.31,"2,337,626.00","767,465,992.06","767,465,992.06",Health Care,2455965,US09062X1037,NASDAQ
AMGN,AMGEN INC,Equity,7.84,174.75,"4,287,364.00","749,216,859.00","749,216,859.00",Health Care,2023607,US0311621009,NASDAQ
CELG,CELGENE CORP,Equity,7.33,93.74,"7,469,223.00","700,164,964.02","700,164,964.02",Health Care,2182348,US1510201049,NASDAQ
REGN,REGENERON PHARMACEUTICALS INC,Equity,4.68,331.98,"1,345,935.00","446,823,501.30","446,823,501.30",Health Care,2730190,US75886F1075,NASDAQ
VRTX,VERTEX PHARMACEUTICALS INC,Equity,4.24,155.14,"2,609,734.00","404,874,132.76","404,874,132.76",Health Care,2931034,US92532F1003,NASDAQ
ILMN,ILLUMINA INC,Equity,3.65,213,"1,636,975.00","348,675,675.00","348,675,675.00",Health Care,2613990,US4523271090,NASDAQ
ALXN,ALEXION PHARMACEUTICALS INC,Equity,3.45,112.72,"2,929,215.00","330,181,114.80","330,181,114.80",Health Care,2036070,US0153511094,NASDAQ
MYL,MYLAN NV,Equity,2.97,40.33,"7,033,450.00","283,659,038.50","283,659,038.50",Health Care,BVFMFG8,NL0011031208,NASDAQ
INCY,INCYTE CORP,Equity,2.47,85.34,"2,766,990.00","236,134,926.60","236,134,926.60",Health Care,2471950,US45337C1027,NASDAQ
BMRN,BIOMARIN PHARMACEUTICAL INC,Equity,2.11,87.41,"2,302,652.00","201,274,811.32","201,274,811.32",Health Care,2437071,US09061G1013,NASDAQ
NKTR,NEKTAR THERAPEUTICS,Equity,1.78,82.44,"2,064,609.00","170,206,365.96","170,206,365.96",Health Care,2454445,US6402681083,NASDAQ
ALNY,ALNYLAM PHARMACEUTICALS INC,Equity,1.63,119.92,"1,300,260.00","155,927,179.20","155,927,179.20",Health Care,B00FWN1,US02043Q1076,NASDAQ
BIVV,BIOVERATIV INC,Equity,1.54,103.5,"1,418,655.00","146,830,792.50","146,830,792.50",Health Care,BDTYZ53,US09075E1001,NASDAQ
JUNO,JUNO THERAPEUTICS INC,Equity,1.34,85.62,"1,496,990.00","128,172,283.80","128,172,283.80",Health Care,BTF8LD1,US48205A1097,NASDAQ
SHPG,SHIRE ADR REPRESENTING PLC,Equity,1.33,131.05,"971,566.00","127,323,724.30","127,323,724.30",Health Care,B39JBM7,US82481R1068,NASDAQ
BLUE,BLUEBIRD BIO INC,Equity,1.21,192.3,"600,917.00","115,556,339.10","115,556,339.10",Health Care,BBFL7S1,US09609G1004,NASDAQ
ALKS,ALKERMES,Equity,1.18,55.7,"2,016,239.00","112,294,431.11","112,294,431.11",Health Care,B3P6D26,IE00B56GVS15,NASDAQ
EXEL,EXELIXIS INC,Equity,1.16,28.46,"3,879,057.00","110,397,962.22","110,397,962.22",Health Care,2576941,US30161Q1040,NASDAQ
JAZZ,JAZZ PHARMACEUTICALS PLC,Equity,1.15,139.26,"786,042.00","109,464,208.92","109,464,208.92",Health Care,B4Q5ZN4,IE00B4Q5ZN47,NASDAQ
SGEN,SEATTLE GENETICS INC,Equity,1.05,53.27,"1,887,110.00","100,526,349.70","100,526,349.70",Health Care,2738127,US8125781026,NASDAQ
SAGE,SAGE THERAPEUTICS INC,Equity,1.02,179.19,"545,691.00","97,782,370.29","97,782,370.29",Health Care,BP4GNK9,US78667J1088,NASDAQ
NBIX,NEUROCRINE BIOSCIENCES INC,Equity,0.99,81.49,"1,160,285.00","94,551,624.65","94,551,624.65",Health Care,2623911,US64125C1099,NASDAQ
IONS,IONIS PHARMACEUTICALS INC,Equity,0.83,48.61,"1,636,260.00","79,538,598.60","79,538,598.60",Health Care,BDJ0LS6,US4622221004,NASDAQ
PRAH,PRA HEALTH SCIENCES INC,Equity,0.76,87.41,"830,885.00","72,627,657.85","72,627,657.85",Health Care,BSHZ3V5,US69354M1080,NASDAQ
UTHR,UNITED THERAPEUTICS CORP,Equity,0.75,127.12,"566,568.00","72,022,124.16","72,022,124.16",Health Care,2430412,US91307C1027,NASDAQ
TECH,BIO TECHNE CORP,Equity,0.68,132.52,"491,113.00","65,082,294.76","65,082,294.76",Health Care,BSHZ3Q0,US09073M1045,NASDAQ
FGEN,FIBROGEN INC,Equity,0.6,53.2,"1,074,601.00","57,168,773.20","57,168,773.20",Health Care,BSDRYR8,US31572Q8087,NASDAQ
